"formula","mse","rse","cor_coef","rank_cor"
"raw_prev_rate ~ age_0514_pop * zone + age_1524_pop * zone + hv025_urban_2013 * zone",0.000590848758944116,43.8920282487331,0.508998481510601,0.338875706143317
"raw_prev_rate ~ assets_fn12 * zone + age_1524_pop * urban + assets_fn1 * urban",1.30764696039116e-05,0.971403873766748,0.508733086984828,0.301585103709532
"raw_prev_rate ~ assets_fn12 * zone + assets_fn6 * zone + assets_fn8 * zone",2.36099800444642e-05,1.7539004616267,0.508659369874793,0.173993439427582
"raw_prev_rate ~ male_pop + age_1524_pop * zone + asin_v481_uninsured_2013 * zone",1.33855270397819e-05,0.994362638595064,0.508119958762284,0.307823701659229
"raw_prev_rate ~ age_4554_pop:zone + assets_fn12:zone + assets_fn8:zone",1.0532642509273e-05,0.782432112368277,0.507772220401223,0.319032030179025
"raw_prev_rate ~ assets_fn17 + assets_fn2 + assets_fn5 + assets_fn8",1.03123166808216e-05,0.766064899371842,0.507396988222894,0.40968555518819
"raw_prev_rate ~ age_0004_pop * zone + asin_v481_uninsured_2013 * zone + asin_hv226_solidFuel_2013 * high_hiv",2.52987230106504e-05,1.87935109997475,0.507364739270091,0.223126804070963
"raw_prev_rate ~ assets_fn12 * zone + age_1524_pop * urban + v149_lessThanSecondaryEduc_2013 * urban",1.26476842090754e-05,0.939550949684396,0.507243982021345,0.287768547798337
"raw_prev_rate ~ age_1524_pop * zone + hv270_poorest_2013 * zone + assets_fn14 * zone",2.06830673431379e-05,1.53647064896573,0.507052879355495,0.275820046640442
"raw_prev_rate ~ age_1524_pop * zone + asin_v481_uninsured_2013 * zone + asin_v481_uninsured_2013 * urban",1.22781231832808e-05,0.912097590870897,0.507008593919464,0.290799730982936
"raw_prev_rate ~ age_1524_pop * zone + hv270_poorest_2013 * zone + asin_v481_uninsured_2013 * zone",6.82825563747162e-05,5.07246541170822,0.506388610383416,0.260593638085248
