"formula","mse","rse","cor_coef","rank_cor"
"raw_prev_rate ~ GHS_BUILT_LDS2014_GLOBE_R2018A_54009_1K_V2_0 + assets_fn17 + assets_fn2 + assets_fn8",1.07699732253484e-05,0.80006255727754,0.474396946406208,0.387938578154498
"raw_prev_rate ~ hv270_poorest_2013 + assets_fn17 + assets_fn2 + assets_fn8",1.07877245352243e-05,0.801381238213618,0.476363436270242,0.394423900316896
"raw_prev_rate ~ assets_fn13 + assets_fn17 + assets_fn7 + assets_fn8",1.07895661184948e-05,0.801518042808213,0.468483695187373,0.267819132885745
"raw_prev_rate ~ assets_fn8 + assets_fn12 * zone + age_0514_pop * urban",1.08024556441056e-05,0.802475559285412,0.491509283301207,0.241208164230256
"raw_prev_rate ~ assets_fn8:zone + assets_fn17:urban + assets_fn5:high_hiv",1.08269180508837e-05,0.80429278346179,0.490904316378002,0.359389062113509
"raw_prev_rate ~ age_2534_pop:zone + assets_fn12:zone + assets_fn1:high_hiv",1.0831312407907e-05,0.804619224432815,0.545946943923588,0.389700893959497
"raw_prev_rate ~ assets_fn17 + assets_fn2 + assets_fn8 + zone",1.0841662708316e-05,0.805388111006683,0.486800699259485,0.416664325775987
"raw_prev_rate ~ assets_fn8:zone + assets_fn17:high_hiv + assets_fn5:high_hiv",1.08420210849137e-05,0.805414733514576,0.493982099233505,0.345819230415015
"raw_prev_rate ~ assets_fn1 + assets_fn17 + assets_fn2 + assets_fn8",1.08423390941347e-05,0.805438357275308,0.464570019815282,0.390123849752697
"raw_prev_rate ~ assets_fn19 + assets_fn11 * urban + assets_fn5 * high_hiv",1.08700456605096e-05,0.807496578394663,0.460352398157084,0.246530357961353
"raw_prev_rate ~ male_pop + assets_fn17 + assets_fn2 + assets_fn8",1.08753599704907e-05,0.807891359360655,0.464784376566085,0.380008157032001
"raw_prev_rate ~ age_0004_pop + assets_fn12 * zone + age_1524_pop * urban",1.08768382801958e-05,0.808001177669243,0.485990781058132,0.33165021134282
"raw_prev_rate ~ assets_fn5 + assets_fn12 * zone + assets_fn1 * high_hiv",1.08803915464984e-05,0.808265137037132,0.480223795723152,0.348991398864013
"raw_prev_rate ~ assets_fn17:zone + assets_fn8:urban + assets_fn2:high_hiv",1.088115717799e-05,0.808322013045666,0.485976672969357,0.417157774201387
"raw_prev_rate ~ GHS_BUILT_LDS2014_GLOBE_R2018A_54009_1K_V2_0 + assets_fn1 + assets_fn11 + assets_fn5",1.0884669531021e-05,0.808582933113824,0.457397750314,0.194506795397774
"raw_prev_rate ~ assets_fn11 * urban + assets_fn3 * urban + assets_fn5 * urban",1.08949863780706e-05,0.809349334557991,0.476475122189294,0.334152699785919
"raw_prev_rate ~ assets_fn8:zone + assets_fn5:urban + assets_fn17:high_hiv",1.09022167430671e-05,0.809886452356536,0.484072489320604,0.351247163094413
"raw_prev_rate ~ v445_underweight_2013 + assets_fn17 + assets_fn2 + assets_fn8",1.09026594936368e-05,0.809919342703209,0.465745428329739,0.386881188671499
"raw_prev_rate ~ assets_fn5:zone + assets_fn8:urban + assets_fn17:high_hiv",1.09175438233025e-05,0.811025045995739,0.48437523731906,0.362525984246408
"raw_prev_rate ~ assets_fn17 + assets_fn18 + assets_fn2 + assets_fn8",1.09195008380281e-05,0.81117042557777,0.459692176220117,0.3840262370674
"raw_prev_rate ~ assets_fn2:zone + assets_fn8:urban + assets_fn17:high_hiv",1.09335311787331e-05,0.812212689103316,0.48608761079365,0.431961226963381
"raw_prev_rate ~ asin_v481_uninsured_2013 + assets_fn17 + assets_fn2 + assets_fn8",1.09340838738187e-05,0.81225374683246,0.465252860522897,0.372782662231504
"raw_prev_rate ~ assets_fn19 + assets_fn11 * urban + assets_fn5 * urban",1.09455014350269e-05,0.813101916370764,0.444855933495211,0.199899481761072
"raw_prev_rate ~ hv252_dailySmokingHH_2013 + assets_fn12 * zone + assets_fn8 * zone",1.09705126864638e-05,0.814959912241937,0.488957464663393,0.162996588804386
"raw_prev_rate ~ v149_lessThanSecondaryEduc_2013 + age_0514_pop * high_hiv + asin_v481_uninsured_2013 * high_hiv",1.09729501567046e-05,0.815140983135368,0.45552521158231,0.311348333269228
"raw_prev_rate ~ assets_fn11:urban + assets_fn19:urban + assets_fn5:urban",1.09738759955801e-05,0.81520976037398,0.455044308929773,0.252099275905151
"raw_prev_rate ~ assets_fn15 + assets_fn17 + assets_fn2 + assets_fn8",1.09768170373667e-05,0.815428239785545,0.45904567683644,0.388150056051098
"raw_prev_rate ~ assets_fn17 + assets_fn5 + assets_fn7 + assets_fn8",1.10085269642482e-05,0.817783856151626,0.456163023639682,0.312440969068328
"raw_prev_rate ~ age_1524_pop:zone + assets_fn12:zone + assets_fn1:urban",1.10089141032859e-05,0.817812615317691,0.469636387833187,0.327526392359122
"raw_prev_rate ~ hivPrev_2018 + assets_fn17 + assets_fn2 + assets_fn8",1.10094064577133e-05,0.817849190556465,0.463030905207019,0.410425727826289
"raw_prev_rate ~ hv025_urban_2013 + assets_fn17 + assets_fn2 + assets_fn8",1.10312735684107e-05,0.819473619525669,0.456988528965654,0.364535024264107
"raw_prev_rate ~ nga_bsgmi_v0a_100m_2011 + assets_fn17 + assets_fn2 + assets_fn8",1.10363927130888e-05,0.819853902363572,0.458547321022095,0.388009070786698
"raw_prev_rate ~ assets_fn2:zone + assets_fn17:urban + assets_fn8:high_hiv",1.10379442725743e-05,0.819969162134768,0.480463518535698,0.426850511128883
"raw_prev_rate ~ v394_notVisitedHF_2013 + assets_fn12 * zone + assets_fn8 * zone",1.10397981996644e-05,0.820106883707296,0.511529150269993,0.197573224898473
"raw_prev_rate ~ assets_fn11 * urban + assets_fn5 * urban + assets_fn8 * urban",1.10400300886134e-05,0.820124109902911,0.447568847454095,0.218721014558464
"raw_prev_rate ~ assets_fn17:zone + assets_fn2:urban + assets_fn8:urban",1.10411902156244e-05,0.820210291564069,0.480332688551688,0.403517449870692
"raw_prev_rate ~ assets_fn5:zone + assets_fn17:urban + assets_fn8:high_hiv",1.10447377487997e-05,0.820473825038563,0.477902323013852,0.365662906379307
"raw_prev_rate ~ GHS_BUILT_LDS2014_GLOBE_R2018A_54009_1K_V2_0 + assets_fn11 + assets_fn19 + assets_fn5",1.1046004008921e-05,0.820567890946583,0.452563230798692,0.218403797713564
"raw_prev_rate ~ male_pop:zone + assets_fn12:zone + assets_fn8:zone",1.10542011196082e-05,0.821176824803843,0.504201807959566,0.217839856655965
"raw_prev_rate ~ assets_fn19 + assets_fn12 * zone + assets_fn1 * high_hiv",1.10629952434684e-05,0.821830108621489,0.46768910898051,0.247411515863853
"raw_prev_rate ~ assets_fn8 + assets_fn12 * zone + age_0004_pop * urban",1.10752034019783e-05,0.822737008788532,0.472578991137001,0.301197394232432
"raw_prev_rate ~ assets_fn17 + assets_fn5 + assets_fn6 + assets_fn8",1.10768715720109e-05,0.822860931137672,0.446391571630425,0.294817811018335
"raw_prev_rate ~ assets_fn17 + assets_fn5 + assets_fn8",1.10772096897411e-05,0.822886048687193,0.451135833007179,0.314696733298727
"raw_prev_rate ~ assets_fn8:zone + assets_fn17:urban + assets_fn2:high_hiv",1.10796710379766e-05,0.82306889339093,0.474698700940911,0.40943883097549
"raw_prev_rate ~ assets_fn16 + assets_fn17 + assets_fn2 + assets_fn8",1.10948299907254e-05,0.824194997444128,0.451001400498068,0.369680986414705
"raw_prev_rate ~ assets_fn8 + assets_fn11 * urban + assets_fn5 * high_hiv",1.11038521717999e-05,0.824865222811606,0.450243756289659,0.207124976561569
"raw_prev_rate ~ age_2534_pop + assets_fn17 + assets_fn2 + assets_fn8",1.11039661868558e-05,0.824873692579843,0.45522573272676,0.391886165557697
"raw_prev_rate ~ assets_fn8 + assets_fn12 * zone + assets_fn2 * zone",1.11108010141688e-05,0.825381427307146,0.489742643203144,0.359671032642309
"raw_prev_rate ~ assets_fn17 + assets_fn2 + assets_fn8 + urban",1.11152711994332e-05,0.82571350128535,0.447652683069306,0.369998203259605
"raw_prev_rate ~ mv717_unskilledOrUnemployed_2013 + assets_fn17 + assets_fn2 + assets_fn8",1.11214794590279e-05,0.826174690551444,0.458322290031426,0.421810287926585
"raw_prev_rate ~ age_65up_pop + assets_fn17 + assets_fn7 + assets_fn8",1.11269186494293e-05,0.826578748434506,0.429157004799033,0.238952399999856
