"CLUSTER","ADM2_CODE","raw_prev_rate","count","response","ADM1_NAME","male_pop","age_0004_pop","age_0514_pop","age_1524_pop","age_2534_pop","age_3544_pop","age_4554_pop","age_5564_pop","age_65up_pop","hivPrev_2018","hv025_urban_2013","asin_hv226_solidFuel_2013","hv252_dailySmokingHH_2013","hv270_poorest_2013","mv149_lessThanSecondaryEduc_2013","mv717_unskilledOrUnemployed_2013","v149_lessThanSecondaryEduc_2013","v394_notVisitedHF_2013","v445_underweight_2013","asin_v481_uninsured_2013","nga10povcons125","nga_bsgmi_v0a_100m_2011","GHS_BUILT_LDS2014_GLOBE_R2018A_54009_1K_V2_0","assets_fn0","assets_fn1","assets_fn10","assets_fn11","assets_fn12","assets_fn13","assets_fn14","assets_fn15","assets_fn16","assets_fn17","assets_fn18","assets_fn19","assets_fn2","assets_fn3","assets_fn4","assets_fn5","assets_fn6","assets_fn7","assets_fn8","assets_fn9","zone","urban","high_hiv"
38,"NGA001002",0,334,0,"Abia",0.51649038366554,0.112310365526547,0.242876565882283,0.219790631355859,0.163125669631614,0.111987399642838,0.0758821641035669,0.0449539035720061,0.0290732946142871,0.020029211221709,0.483751552112284,1.29553666763891,0.052473523291982,0.000930044737444964,0.357388095082033,0.283771253935014,0.346433332870944,0.839248533748532,0.079097609671322,1.43572344783235,0.274909108877182,0.69581364064586,0.322682400033809,0.0564254447817802,0.319396525621414,0.110383808612823,0.169825881719589,0.177464470267296,0.328023254871368,0.178216814994812,0.19612167775631,0.395609855651855,0.25988757610321,0.0619587674736977,0.338744401931763,0.229500308632851,0.163895532488823,0.160605311393738,0.162466377019882,0.236227288842201,0.119713999330997,0.341053932905197,0.0124539146199822,"South.East",TRUE,TRUE
15,"NGA002004",0.00407055630936228,737,3,"Adamawa",0.50505889980962,0.197256601039286,0.282369662922675,0.180752587610605,0.130432974490785,0.0856844206120316,0.0549602368838146,0.036199841259989,0.0323435748706606,0.0105250663081689,0.11920265935456,1.52912252210498,0.0497893312186977,0.202002955555168,0.63688073337509,0.166122512105516,0.802485116356631,0.837132150855668,0.182806263626353,1.46837976047336,0.739893078804016,0.00632275959882036,0.000564582682732674,0.265731513500214,0.0854353830218315,0.105711340904236,0.332371741533279,0.146931722760201,0.101715490221977,0.213873729109764,0.107018362730742,0.210367448627949,0.363277718424797,0.20831897854805,0.0566465817391872,0.232905060052872,0.343019589781761,0.0189697295427322,0.370685860514641,0.349507167935371,0.202480345964432,0.389099881052971,0.178303003311157,"North.East",FALSE,FALSE
11,"NGA002020",0.011826544021025,761,9,"Adamawa",0.518071929294237,0.172276217555062,0.273172685907461,0.201023419864965,0.141826637825124,0.0926068011766058,0.0561901248631291,0.0351529780448927,0.0277510398311347,0.0219357779642111,0.280825974287346,1.44974447975945,0.0947586713125791,0.160077104052203,0.60135168185468,0.22219623737392,0.699356722451348,0.812955051402561,0.0998138752008332,1.38879046115295,0.696323454380035,0.033684980921667,0.00640412005478793,0.237024962902069,0.118479281663895,0.104379821568727,0.296396002173424,0.144899241626263,0.123410645872355,0.213633045554161,0.133639387786388,0.226325109601021,0.331167936325073,0.200986325740814,0.067834347486496,0.217576116323471,0.321705207228661,0.0459196027368307,0.336130723357201,0.295239493250847,0.233886376023293,0.360828429460526,0.166186802089214,"North.East",FALSE,TRUE
46,"NGA003005",0.00760456273764259,526,4,"Akwa lbom",0.506007206216144,0.123867061850403,0.263661515352311,0.210136660773615,0.139092670223577,0.101683593725451,0.0751322105030003,0.0504016560608751,0.0360246294650245,0.0407027015780717,0.209591462964244,1.38188349857988,0.059419911724038,0.00309921735257357,0.460421546292649,0.281774894745393,0.492522641337674,0.837919669826225,0.0825492692294674,1.40236627828338,0.554058730602264,0.0712447823037771,0.00105866652319835,0.162640623748302,0.140362024307251,0.11190365254879,0.228515118360519,0.143440991640091,0.18845796585083,0.205035582184792,0.148127280175686,0.235610313713551,0.276258453726768,0.157521113753319,0.135395050048828,0.206916756927967,0.322233125567436,0.0738076008856297,0.272076264023781,0.237197302281857,0.157128132879734,0.296839132905006,0.0751401484012604,"South.South",FALSE,TRUE
47,"NGA003031",0.00431034482758621,464,2,"Akwa lbom",0.512896953097144,0.11627343774047,0.238639392442067,0.233908204989355,0.163558812281253,0.10856598502556,0.0711174397449982,0.0413416974434804,0.0265950180078182,0.0357550787317246,0.0709988174403762,1.4125343254222,0.0736932950176436,0.0100696375157473,0.560465921191637,0.282103398152342,0.621916639413072,0.817964289821951,0.0839788050473744,1.35450580997329,0.550356984138489,0.318308761869985,0.062440241536152,0.121481321752071,0.291904419660568,0.124375835061073,0.229403808712959,0.191471204161644,0.325937300920486,0.230731338262558,0.221746861934662,0.426230728626251,0.316733181476593,0.127291649580002,0.273875415325165,0.222341746091843,0.260338574647903,0.149415478110313,0.267798125743866,0.261236011981964,0.215881302952766,0.34932205080986,0.0519730933010578,"South.South",TRUE,TRUE
39,"NGA004001",0.0054249547920434,553,3,"Anambra",0.502628149439095,0.115204914774375,0.251289386719121,0.214555702493334,0.141718112936176,0.104326486081259,0.0774149157838062,0.0525709147272576,0.0429195422357121,0.0215050490514301,0.678457480938948,1.44477306863743,0.066749001511372,0.00388444558752077,0.590614579172812,0.337378147940157,0.411552586390259,0.772674478892966,0.0357883986819904,1.39706664980437,0.420245051383972,0.427417869460583,0.137236453691382,0.169877588748932,0.239194199442863,0.128913164138794,0.261822372674942,0.179207608103752,0.27288743853569,0.155865371227264,0.173554077744484,0.377913564443588,0.345731794834137,0.117136873304844,0.26485875248909,0.230418622493744,0.258468478918076,0.0731677487492561,0.324016094207764,0.30930107831955,0.20546743273735,0.406363993883133,0.0236422885209322,"South.East",TRUE,TRUE
40,"NGA004010",0.0157068062827225,573,9,"Anambra",0.507983386938654,0.120428462513115,0.252393607787509,0.210512377858807,0.149251221733995,0.106284168631498,0.0742770876452915,0.0481353691105941,0.0387177142805934,0.0226534340495962,0.673954485432981,1.40530204548916,0.0728557605193163,0.00328228190844742,0.5259872216285,0.323785836783762,0.437764343158642,0.769749061008474,0.044951994263422,1.38050468922592,0.353232428431511,0.562429305307625,0.35042167244803,0.123079530894756,0.279164880514145,0.122523434460163,0.208409950137138,0.221691682934761,0.304797440767288,0.150268137454987,0.184249997138977,0.365749329328537,0.294349849224091,0.0898772552609444,0.32121753692627,0.223416432738304,0.182863593101501,0.129596471786499,0.263718008995056,0.246863126754761,0.168645545840263,0.3638756275177,0.0340245887637138,"South.East",TRUE,TRUE
13,"NGA005002",0.0112721417069243,621,7,"Bauchi",0.514639999003724,0.197937017868939,0.286356614642229,0.191847699066247,0.131987410361409,0.0850821284721833,0.0510574668386197,0.0316422930405186,0.0240888733212882,0.008423906821906,0.136415177468252,1.53145852291917,0.0619188899730459,0.305833468732315,0.734329947961144,0.0571108865426417,0.900440249646662,0.785612571189114,0.148467527824785,1.44183198819694,0.853107571601868,0.015665750374444,0.0105828573925391,0.231539256870747,0.0962449312210083,0.0951360911130905,0.276441112160683,0.145683601498604,0.129239842295647,0.205654866993427,0.121977359056473,0.204253241419792,0.31234036386013,0.195569336414337,0.0534235406666994,0.210831448435783,0.308829113841057,0.0401205644011497,0.318188279867172,0.291539058089256,0.209324076771736,0.335420116782188,0.184696480631828,"North.East",FALSE,FALSE
19,"NGA005004",0.00130718954248366,765,1,"Bauchi",0.509682197723638,0.212987123239566,0.289456871120896,0.177681408644358,0.130601613062506,0.0844197356626449,0.052677681612093,0.0287292031599625,0.0234463985806108,0.003007617171646,0.497787816112173,1.53350538244922,0.0136971104606846,0.634317181294226,0.784331046585052,0.0375428734640125,0.931723448507305,0.89543112175837,0.303493136362081,1.48902996492823,0.918509185314178,0.00544003318169035,0.00186861918194962,0.26554149389267,0.0830964371562004,0.09913270175457,0.306413859128952,0.151418060064316,0.1481112241745,0.23111492395401,0.137354731559753,0.218934074044228,0.349141597747803,0.207367867231369,0.049265518784523,0.23138827085495,0.325142443180084,0.0452933497726917,0.360270440578461,0.326666355133057,0.185615226626396,0.369520604610443,0.19006559252739,"North.East",FALSE,FALSE
14,"NGA005015",0.00122100122100122,819,1,"Bauchi",0.510349364518092,0.214162267746177,0.288375973523523,0.176808094288801,0.130597162495262,0.084753439987511,0.0523609919496448,0.0296044638156306,0.02333752981605,0.00405369541908319,1.32034044877946e-12,1.50562728042279,0.0269769071755661,0.764062936104325,0.900942574937506,0.0485285519512376,0.990376070392549,0.892536664995858,0.130913579117079,1.49132823824812,0.860343813896179,0.00323994867211277,0.00209540427334864,0.233430922031403,0.109002478420734,0.108203187584877,0.293245375156403,0.148662284016609,0.131758481264114,0.202461630105972,0.119222886860371,0.22409276664257,0.334103465080261,0.186888813972473,0.0701005384325981,0.213958546519279,0.327666461467743,0.0296778660267591,0.338610142469406,0.294617027044296,0.222388565540314,0.345952481031418,0.161216661334038,"North.East",FALSE,FALSE
