"","CLUSTER","raw_prev_rate","urban","mean","sd","X0.025quant","X0.5quant","X0.975quant","mode","fit","sq_err","glm_fit","glm_sq_err"
"105",1,0.00145772594752187,FALSE,0.0026414817063049,0.000958085641979158,0.00110722738654214,0.00253030206861336,0.0048216925090413,0.00231706554672072,0.00253030206861336,1.15041953553567e-06,0.00284091400228787,1.91320919484735e-06
"112",2,0.00625978090766823,FALSE,0.00245662291302544,0.00475608834765413,2.42517908133781e-05,0.000949913912375531,0.0142883172260295,2.08004050996273e-05,0.000949913912375531,2.81946875076987e-05,0.000644238062491925,3.15343214460108e-05
"265",3,0.00265957446808511,TRUE,0.00209578669975726,0.00287134141568577,2.93342150454146e-05,0.00110184235335515,0.00995046061869023,2.49326413810939e-05,0.00110184235335515,2.42652934126106e-06,0.000777925519143708,3.54060276705228e-06
"444",4,0.00138888888888889,FALSE,0.000567885259075546,0.000381031754509161,9.94886234569168e-05,0.00048157426029619,0.00153559251202766,0.000316315991555236,0.00048157426029619,8.23219835258308e-07,0.000473967183921455,8.37081726220517e-07
"458",5,0.0013550135501355,FALSE,0.000668713211730307,0.000486915048493174,9.77786471364419e-05,0.000550930417043397,0.00192191876645522,0.00032463837436454,0.000550930417043397,6.46549684923213e-07,0.000488421938692567,7.5098102102326e-07
"469",6,0,TRUE,0.00559111462626879,0.0139734488607538,1.35926419445944e-05,0.00140582682464305,0.0383086801227932,1.81485613124693e-06,0.00140582682464305,1.97634906088595e-06,0.00105486597920767,1.11274223408976e-06
"494",7,0,FALSE,0.00164652512793338,0.000806304429416398,0.000486942892710362,0.00151254166699556,0.00358204769451836,0.00125401311998953,0.00151254166699556,2.2877822943977e-06,0.00141072846525454,1.99015480267942e-06
"515",8,0.00307692307692308,FALSE,0.000485577895840696,0.000404257056726463,5.34475675455824e-05,0.000377022525382793,0.00154876919163206,0.000179432076100778,0.000377022525382793,7.28946298820755e-06,0.000324745702471611,7.57448030044258e-06
"520",9,0,FALSE,0.00129560343817488,0.0009270569013037,0.000210743587186489,0.00107024241103263,0.00368844305485471,0.000663588712014741,0.00107024241103263,1.14541881837294e-06,0.000913972746891017,8.35346182059511e-07
"596",10,0,FALSE,0.00169592471807092,0.000624802749212414,0.000695310666531057,0.00162398853378633,0.00311553964257398,0.00148624770837011,0.00162398853378633,2.63733875786948e-06,0.00170749285165102,2.91553183843934e-06
"27",11,0.011826544021025,FALSE,0.0211320276347336,0.0202891044648523,0.00249747877779276,0.0150486012601389,0.0759356061216926,0.00696287949424646,0.0150486012601389,1.0381652852126e-05,0.016351281547113,2.04732496799887e-05
"733",12,0.00166944908180301,FALSE,0.00705041680562097,0.0016504928938892,0.00424852777887995,0.00690342080765692,0.010691541244143,0.00661535504866821,0.00690342080765692,2.73944600270382e-05,0.00712545730809383,2.97680257653531e-05
"77",13,0.0112721417069243,FALSE,0.00270580135030605,0.000832639844163146,0.00134056662454207,0.0026171107431607,0.00458100281315179,0.00244587078999851,0.0026171107431607,7.49095609837066e-05,0.00253301354500078,7.63723610305247e-05
"90",14,0.00122100122100122,FALSE,0.00188949619393722,0.000850323302270965,0.000663380513245293,0.00174639434785331,0.00393899794226447,0.00147803013342631,0.00174639434785331,2.76037937743415e-07,0.00162153771588306,1.60429483732227e-07
"18",15,0.00407055630936228,FALSE,0.00319698493198369,0.000933288646490687,0.00163277381801261,0.0031091921943925,0.00526859652125395,0.00294042859672836,0.0031091921943925,9.24220961551637e-07,0.00305701246910129,1.027271116131e-06
"271",16,0.00165562913907285,TRUE,0.00893575873317548,0.0723684222073231,1.5742746117808e-15,3.7048882381003e-08,0.038557742556228,3.34884601022365e-27,3.7048882381003e-08,2.74098516910125e-06,5.53843608729411e-10,2.74110601222818e-06
"266",17,0,FALSE,0.00313098586153655,0.000833523070313934,0.00171037635823238,0.00305993463372955,0.00496054161458234,0.00292308504603997,0.00305993463372955,9.3631999626976e-06,0.00306135569516142,9.37189869229729e-06
"651",18,0.00249376558603491,FALSE,0.00263837272380106,0.000733732067491134,0.00139109852263479,0.00257526840494713,0.00425078548623369,0.00245449908881945,0.00257526840494713,6.6427094906384e-09,0.00267432027005768,3.2599993922561e-08
"79",19,0.00130718954248366,FALSE,0.00190997671451664,0.000800939359770437,0.000718609260336192,0.00178647830897003,0.00381064799932592,0.00155226237857935,0.00178647830897003,2.29717721680023e-07,0.00168546368200689,1.43091324632043e-07
"307",20,0,FALSE,0.00210455373877362,0.000681367991373187,0.00101323366918155,0.00202322945963398,0.00366231057555483,0.00186648524855976,0.00202322945963398,4.09345744633079e-06,0.00202314032549012,4.09309677662429e-06
"314",21,0.00261096605744125,FALSE,0.00181620695786811,0.000541990734244156,0.000926501486789839,0.0017585637723267,0.00303647619125401,0.00164704348144035,0.0017585637723267,7.26589655668502e-07,0.00174520062115037,7.49549790675939e-07
"333",22,0.00313479623824451,FALSE,0.00596353882358498,0.00233582084003923,0.00257629197179507,0.00557300785056791,0.0115920589083787,0.00485228852820199,0.00557300785056791,5.94487586646867e-06,0.00566653915404455,6.4097221917037e-06
"351",23,0.00420757363253857,TRUE,0.00328946163686359,0.000893054347708749,0.00178839702628832,0.00320583387437954,0.0052702772248787,0.00304362583153656,0.00320583387437954,1.00348254307651e-06,0.00332034019562132,7.87183171583996e-07
"350",24,0,TRUE,0.00429856974773913,0.000952606237599384,0.00263196664693493,0.00423057557764034,0.00635581960084186,0.00409853116216633,0.00423057557764034,1.78977697181269e-05,0.00428589128666423,1.83688641211043e-05
"358",25,0.00687757909215956,TRUE,0.00450081155185669,0.00149987811543443,0.00211067124910957,0.00431835478281835,0.00793691680858389,0.00396659051521604,0.00431835478281835,6.54962906552301e-06,0.00447948378445899,5.75086110481549e-06
"369",26,0,TRUE,0.00346465755511317,0.00165851933818922,0.00113168705993824,0.00316815107220863,0.00750456048018876,0.00261638017652158,0.00316815107220863,1.00371812163367e-05,0.00317547229395264,1.00836242896608e-05
"372",27,0.00605143721633888,TRUE,0.00557836628445372,0.00277624848870972,0.00176487070635076,0.00505393095461402,0.0124113152231327,0.00409165338564389,0.00505393095461402,9.95018742180314e-07,0.00515852476056336,7.97292653679073e-07
