"formula","mse","rse","cor_coef","mse_glm","rse_glm","cor_coef_glm"
"response ~ 1 + age_4554_pop",1.37578571769415e-05,1.02202170472777,0.0853132120325859,"1.37581826038521e-05","1.02204587952197","0.0857638307973336"
"response ~ 1 + urban",1.38212606864916e-05,1.02673172330717,0.0722852170362417,"1.38187939971089e-05","1.02654848182882","0.0722269139913518"
"response ~ 1 + high_hiv",1.41680255833243e-05,1.05249163972749,-0.0785802742198375,"1.41656301153514e-05","1.0523136890314","-0.0812082660200132"
"response ~ 1 + male_pop",1.4311230154557e-05,1.06312979203084,-0.531580909514034,"1.43146965100392e-05","1.06338729510661","-0.534485325853322"
