"","CLUSTER","raw_prev_rate","urban","mean","sd","X0.025quant","X0.5quant","X0.975quant","mode","fit","sq_err","glm_fit","glm_sq_err"
"105",1,0.00145772594752187,FALSE,0.000576711154778908,0.000580553736308159,4.07381854642998e-05,0.000402665004408328,0.00213401389933835,0.000127130089219731,0.000402665004408328,1.11315359368364e-06,NA,NA
"112",2,0.00625978090766823,FALSE,0.0108946899687881,0.0244516407374381,0.000160124923668916,0.0036141776720134,0.0691151186352641,0.000291981816742684,0.0036141776720134,6.99921648050731e-06,NA,NA
"265",3,0.00265957446808511,TRUE,0.00695401354755189,0.00990989907593605,0.000313378623010148,0.00378941916836372,0.0330086225275515,0.000838020006522723,0.00378941916836372,1.27654904674767e-06,NA,NA
"444",4,0.00138888888888889,FALSE,0.000523508838118572,0.00034540390007658,9.08415116690546e-05,0.000447849507864363,0.00139358896897116,0.000295893127596793,0.000447849507864363,8.85555116639026e-07,NA,NA
"458",5,0.0013550135501355,FALSE,0.00194361164355111,0.00114519616321025,0.000457674615522579,0.00170432498170029,0.00481097937112275,0.00126348827980852,0.00170432498170029,1.22018476221843e-07,NA,NA
"469",6,0,TRUE,0.00782298625414268,0.0300496714082458,8.75215570370011e-06,0.000897926304443994,0.062856410625814,2.48510546200475e-06,0.000897926304443994,8.06271648212447e-07,NA,NA
"494",7,0,FALSE,0.00101440566944983,0.000621668079644902,0.000206769831688238,0.00088614612014614,0.00256359088225972,0.000634710251840264,0.00088614612014614,7.85254946250057e-07,NA,NA
"515",8,0.00307692307692308,FALSE,0.00131967790810143,0.000894323461771132,0.000248175178390336,0.00110854346823409,0.00361408232686276,0.000734383633185559,0.00110854346823409,3.87451828390261e-06,NA,NA
"520",9,0,FALSE,0.000324590461115505,0.000461568513874837,1.07027617658749e-05,0.000176145982478662,0.00153643642065956,2.50399841652992e-05,0.000176145982478662,3.10274071433731e-08,NA,NA
"596",10,0,FALSE,0.00102188670014557,0.000546554955385759,0.000256632709662201,0.000925935197176477,0.00234419535993555,0.0007349567333354,0.000925935197176477,8.57355989370241e-07,NA,NA
