"","CLUSTER","raw_prev_rate","urban","mean","sd","X0.025quant","X0.5quant","X0.975quant","mode","fit","sq_err","glm_fit","glm_sq_err"
"105",1,0.00145772594752187,FALSE,0.00189192441264641,0.000922257236962847,0.000617279761165708,0.00172001802164529,0.00415660687210426,0.001404893882046,0.00172001802164529,6.87971321479655e-08,0.00170325823311263,6.02861032674203e-08
"112",2,0.00625978090766823,FALSE,0.00100945240930523,0.000625222935538388,0.000228786501438211,0.000870004576184537,0.00259753141181705,0.000622815177814573,0.000870004576184537,2.90496889034218e-05,0.000956345167035809,2.81264306550173e-05
"265",3,0.00265957446808511,TRUE,0.00112967743729301,0.00063461008122724,0.000249697557744063,0.00101732724148165,0.0026630623768841,0.00077888978663313,0.00101732724148165,2.69697595328675e-06,0.000383975820844628,5.17834920332271e-06
"444",4,0.00138888888888889,FALSE,0.00116143565201779,0.000422843214160659,0.000490605678768591,0.00110991487245832,0.00213021787578375,0.00101104691451196,0.00110991487245832,7.78265018434049e-08,0.00111933253456722,7.26606281551892e-08
"458",5,0.0013550135501355,FALSE,0.0040845560410251,0.00187644878576425,0.00143727743979076,0.00375003640991752,0.00865465409997112,0.0031320472063895,0.00375003640991752,5.73613449887847e-06,0.00416789308823786,7.91229129587496e-06
"469",6,0,TRUE,0.0265427766632074,0.0632335821613162,5.87554077085417e-05,0.00551330776452961,0.203453050146452,1.29943296305064e-05,0.00551330776452961,3.03965625064225e-05,0.00263902972629879,6.96447789628869e-06
"494",7,0,FALSE,0.000743713248222767,0.000328854773610039,0.000270631149129738,0.000687886470729484,0.001537803507077,0.000583851093645005,0.000687886470729484,4.73187796612666e-07,0.000741521996609983,5.49854871456455e-07
"515",8,0.00307692307692308,FALSE,0.00107328976794225,0.000393722726547372,0.000453325417552304,0.00102365772443569,0.00197952830542723,0.00092835599934938,0.00102365772443569,4.21589860772517e-06,0.0010745361118855,4.0095535577524e-06
"520",9,0,FALSE,0.00135828430642905,0.000575435367349613,0.000515310583350307,0.00126517004509391,0.00273632126259511,0.00109026888805436,0.00126517004509391,1.60065524300292e-06,0.00143346730948075,2.05482852734998e-06
"596",10,0,FALSE,0.00176417866506555,0.000629538645618635,0.000766598935883442,0.00168657823522329,0.00320889167961293,0.00153753337130205,0.00168657823522329,2.84454614352892e-06,0.00180085156907935,3.24306637385556e-06
"27",11,0.011826544021025,FALSE,0.00688029927019737,0.00308071535464528,0.00247878252342862,0.0063475590751854,0.0143376761534489,0.00535540170704913,0.0063475590751854,3.0019276036737e-05,0.00611648714454752,3.26047495326078e-05
"733",12,0.00166944908180301,FALSE,0.0048927230542373,0.001309497850871,0.00270500322055672,0.00476498512431849,0.00781131917167535,0.00451640113646701,0.00476498512431849,9.5823433905124e-06,0.00463874847365105,8.81673887842911e-06
"77",13,0.0112721417069243,FALSE,0.00234697688016241,0.000733820739349364,0.00115573510398105,0.00226475788880714,0.00400951555959901,0.0021059535018937,0.00226475788880714,8.11329632468789e-05,0.00222180401901277,8.19086122652318e-05
"90",14,0.00122100122100122,FALSE,0.00470727911517811,0.00120768334692679,0.00266519432559362,0.0045977685089634,0.00737657669371827,0.00438453052557115,0.0045977685089634,1.14025573170515e-05,0.00458669157532386,1.13278715611805e-05
"18",15,0.00407055630936228,FALSE,0.00332047410706612,0.000908736247853718,0.00180134356873521,0.00323241813854688,0.00534465361939642,0.00306148769124685,0.00323241813854688,7.02475593377783e-07,0.00317996320265333,7.93156081717491e-07
"271",16,0.00165562913907285,TRUE,0.000913212811443725,0.0178847062910122,1.70990802046984e-14,1.91273768530422e-08,0.00115180946615093,4.26100877979557e-24,1.91273768530422e-08,2.74104451082802e-06,3.7936955908288e-09,2.74109528425557e-06
"266",17,0,FALSE,0.00205697454144628,0.00058735297513198,0.00109775506422846,0.00199241218303927,0.00338504780360591,0.00186721719943708,0.00199241218303927,3.9697063071233e-06,0.00202119174883492,4.08521608555835e-06
"651",18,0.00249376558603491,FALSE,0.00650995937550198,0.00201753834958681,0.00325239305056353,0.00627719631632279,0.0110992075103324,0.00582676946534469,0.00627719631632279,1.43143480908867e-05,0.00689710414780184,1.93893904895436e-05
"79",19,0.00130718954248366,FALSE,0.00216505559757769,0.000622988475194918,0.00114631720520995,0.00209709111828539,0.003572661972512,0.00196533335233945,0.00209709111828539,6.23944499454056e-07,0.00208525631062926,6.05387895692537e-07
"307",20,0,FALSE,0.00271379963632495,0.000653499050322907,0.00159023203287327,0.00266062495511314,0.00414257916838735,0.00255725260535104,0.00266062495511314,7.07892515177081e-06,0.00262413235539946,6.88607061865431e-06
"314",21,0.00261096605744125,FALSE,0.00211055362545505,0.000541798561995583,0.00119020033508621,0.00206285549748321,0.00330464878092217,0.00197026692643399,0.00206285549748321,3.0042518593752e-07,0.00202647391972702,3.41631059049748e-07
"333",22,0.00313479623824451,FALSE,0.00370822611055239,0.00106035511760714,0.00196588438159261,0.0035953358276604,0.00609675092296224,0.00337624636660631,0.0035953358276604,2.12096713419359e-07,0.00357334916397385,1.92328668665762e-07
"351",23,0.00420757363253857,TRUE,0.00347418601550098,0.000874337697058592,0.00198131897059941,0.00339975596611472,0.00539427244856823,0.0032552678048011,0.00339975596611472,6.52569382186469e-07,0.0034717148047255,5.41488214470419e-07
"350",24,0,TRUE,0.00220928174657584,0.00045997753214333,0.00141066531910702,0.00217411307537919,0.00320882001782894,0.00210507791039589,0.00217411307537919,4.72676766453477e-06,0.00218524104597829,4.77527842902829e-06
"358",25,0.00687757909215956,TRUE,0.00266747021937399,0.000770171061899854,0.00138692904870273,0.00259097759147441,0.00438778176314827,0.00244306204427643,0.00259097759147441,1.83749524256762e-05,0.00263947150706407,1.79615559028439e-05
"369",26,0,TRUE,0.00393242640753519,0.00169955837163917,0.00143537895670036,0.00366067764493677,0.00799131666361117,0.00314673666188018,0.00366067764493677,1.34005608201399e-05,0.00356746150375251,1.27267815807561e-05
"372",27,0.00605143721633888,TRUE,0.00430746783234511,0.00179209572583298,0.00160435619215106,0.00404433885197823,0.00852679342832382,0.00354091136604888,0.00404433885197823,4.02844384421919e-06,0.00406288965984391,3.95432138444212e-06
"382",28,0,TRUE,0.00201667023860551,0.00074486216348653,0.000860698615570173,0.00191655290920073,0.00374797642591232,0.0017247518308843,0.00191655290920073,3.67317505376576e-06,0.0018749547600224,3.51545535213064e-06
"393",29,0.00561009817671809,TRUE,0.00637287411478927,0.00179804493071812,0.00347454103450319,0.00616226244888449,0.0104738667700976,0.00575476345403604,0.00616226244888449,3.04885383457051e-07,0.0064051542150274,6.321141040521e-07
"408",30,0.0027359781121751,FALSE,0.0033649900715052,0.0007999071446646,0.0019888675197335,0.00330017599467932,0.00511290416251051,0.00317393768952791,0.00330017599467932,3.18319250622247e-07,0.00329816988699363,3.16059591673612e-07
"411",31,0,FALSE,0.00206276379936935,0.000484523604651893,0.00123001489735139,0.00202312463458449,0.00312219761919861,0.00194583931046434,0.00202312463458449,4.09303328706262e-06,0.0019992188042692,3.99687582734357e-06
"413",32,0,TRUE,0.00245114177424329,0.000457391925875824,0.00163275793200674,0.00242439792654169,0.00342264137251585,0.00237227395242866,0.00242439792654169,5.87770530621964e-06,0.00243493842916825,5.92892515384035e-06
"427",33,0.00416088765603329,FALSE,0.00181984907466498,0.000457284750702008,0.00103926302334894,0.00178084147054069,0.00282434215442427,0.00170512870576287,0.00178084147054069,5.66461984507788e-06,0.00175213616168366,5.80208376153159e-06
"692",34,0.0027359781121751,FALSE,0.00148215323843869,0.000423601437296154,0.000786088656678297,0.00143706221932544,0.00243630677951069,0.00134961099394934,0.00143706221932544,1.68718249669743e-06,0.00140331423526717,1.77599300881527e-06
"641",35,0.0027359781121751,TRUE,0.00154365445901502,0.000497712576357151,0.000743171273504565,0.00148546624407979,0.00267769164953221,0.00137325334718114,0.00148546624407979,1.56377993224723e-06,0.00146857661597644,1.6063065525666e-06
"679",36,0.00280898876404494,FALSE,0.00251188876915568,0.000622349827858235,0.0014462157290864,0.00245989019289485,0.00387606356295257,0.00235895208802681,0.00245989019289485,1.21869812379031e-07,0.00242441284163089,1.47898640100618e-07
"686",37,0.00281293952180028,FALSE,0.00159022400367712,0.000436445843759423,0.000865770703440543,0.00154612193536906,0.00256704888229607,0.00146046044128477,0.00154612193536906,1.60482679729142e-06,0.00151593035253906,1.68223278514769e-06
"1",38,0,TRUE,0.00754991961193932,0.00516992838706733,0.00206811612612894,0.00620276032427248,0.0210465562569242,0.00433190361976892,0.00620276032427248,3.84742356403688e-05,0.00566115509434084,3.20486770021813e-05
"55",39,0.0054249547920434,TRUE,0.00278757121933037,0.00116814705261809,0.00100803903407033,0.00262323899143719,0.00551785417729814,0.00230713858099555,0.00262323899143719,7.84961142736652e-06,0.00276290097512756,7.08653052415621e-06
"64",40,0.0157068062827225,TRUE,0.0253267536987531,0.0526026490210935,0.000276687297211137,0.0079340858489053,0.168514654456553,0.000421419383125868,0.0079340858489053,6.04151829422794e-05,0.0120853604254482,1.31148700971692e-05
"186",41,0.0018796992481203,FALSE,0.000857552848374169,0.000618628117953783,0.000140639480904655,0.000705323049591396,0.00245710732956883,0.000436387912888396,0.000705323049591396,1.3791594556712e-06,0.000652894444592874,1.50505002595797e-06
"223",42,0.003584229390681,FALSE,0.000979260474189446,0.000555801120118161,0.00023767079240123,0.000869432845442815,0.00235557151906781,0.000661777366221325,0.000869432845442815,7.37012028203719e-06,0.000830161376218524,7.58489062828529e-06
"233",43,0,FALSE,0.00184208749638529,0.000929095263699693,0.000536360125538244,0.00167739829191767,0.00409919818113904,0.00136476145700923,0.00167739829191767,2.81366502972832e-06,0.00163210342691789,2.66376159615712e-06
"285",44,0,TRUE,0.00147101223247129,0.000988856923695953,0.000291150206406147,0.00123601573462771,0.00401371261263384,0.000828894793677549,0.00123601573462771,1.52773489624728e-06,0.00131586338114521,1.7314964378389e-06
"287",45,0.00185873605947955,TRUE,0.00210586805948329,0.00101212973566841,0.000666741376200548,0.00193053098797082,0.00455569456794795,0.00160001366335459,0.00193053098797082,5.15451175706614e-09,0.00196679098661978,1.16758672792799e-08
"32",46,0.00760456273764259,FALSE,0.00488941927892925,0.0105141491681901,0.000263093122140011,0.0021211669771086,0.0269812301638019,0.000610017353239125,0.0021211669771086,3.00676290666421e-05,0.00211144914637834,3.01742969265321e-05
"54",47,0.00431034482758621,TRUE,0.00470300164590272,0.0020176735730413,0.00167578456551558,0.00440310738683792,0.00946000394049899,0.00382788896017128,0.00440310738683792,8.60489239892664e-09,0.00425303987624591,3.28385744811397e-09
"100",48,0.00137741046831956,FALSE,0.00146629914031423,0.000542509531737647,0.000627371305255934,0.00139231757276753,0.00273014162128404,0.00125080959490879,0.00139231757276753,2.22221763022622e-10,0.00150133265562591,1.53567085067901e-08
"772",49,0.0032520325203252,FALSE,0.00457208744063266,0.00247490312635127,0.00136679794344621,0.00404917166058885,0.010795557107233,0.00313336659957303,0.00404917166058885,6.35430808940267e-07,0.00378574943109428,2.84853740840892e-07
"169",50,0.0028328611898017,FALSE,0.0018935037503318,0.000738607311746705,0.000769993586019608,0.00178702867315618,0.00362896533612276,0.00158411339446217,0.00178702867315618,1.0937656528731e-06,0.00196277254010434,7.57054258332183e-07
"173",51,0.00138312586445367,FALSE,0.000294861325668228,0.000309798430626225,2.02402041381623e-05,0.000200508092298189,0.00112610613268329,6.26153485388512e-05,0.000200508092298189,1.39858479501799e-06,0.000233971552692529,1.32055563223922e-06
"197",52,0.00297619047619048,TRUE,0.001930495813694,0.000741697987163167,0.000799636631892015,0.00182431490587467,0.00367061594205967,0.00162190151294096,0.00182431490587467,1.32681732949038e-06,0.00198878220947584,9.74975085176412e-07
"198",53,0,TRUE,0.00500683623451624,0.00186258996588497,0.00213938446874783,0.00474847350835222,0.0093559490589885,0.00425420429111413,0.00474847350835222,2.25480006595229e-05,0.00499839595534698,2.49839621264291e-05
"622",54,0.00413223140495868,TRUE,0.00299765025300874,0.00173388488668995,0.00071634188794706,0.00264475145881798,0.00731882094559264,0.00198572117910519,0.00264475145881798,2.21259659017074e-06,0.00275219314450391,1.90450560031903e-06
"624",55,0,FALSE,0.0274888075814561,0.0699970192841567,4.30003595727303e-05,0.00470773742152626,0.224186703962881,7.9626862912636e-06,0.00470773742152626,2.21627916300388e-05,0.0061168691321559,3.74160879799216e-05
"628",56,0.00378071833648393,TRUE,0.00332722221779451,0.00167016352360728,0.000965617404236971,0.00303611683934039,0.00736857373680727,0.00247971704083668,0.00303611683934039,5.54431389548399e-07,0.00303986732073503,5.4886022753618e-07
"205",57,0.00151057401812689,TRUE,0.00400192076571065,0.00101350170291618,0.00228803480104576,0.00390977375855292,0.00624306865851669,0.00373018527314648,0.00390977375855292,5.75615939446034e-06,0.00382156025975323,5.34065740898624e-06
"712",58,0,TRUE,0.00540728038072503,0.000990217078801731,0.00363173318095338,0.00535058915246994,0.00750771025610454,0.00523993437310097,0.00535058915246994,2.8628804278529e-05,0.00538873926488317,2.90385108648936e-05
"484",59,0.00313971742543171,TRUE,0.00375883913960275,0.000928464725112815,0.00217037447209131,0.00368072695122177,0.00579557448987796,0.00352888653211493,0.00368072695122177,2.92691306995582e-07,0.00365905119031448,2.69707559347313e-07
"479",60,0.0075187969924812,TRUE,0.00324916818202736,0.00118075759918485,0.0014479819488378,0.00307927777931563,0.00602316336473766,0.00275632564526114,0.00307927777931563,1.97093308440663e-05,0.00307012732576861,1.97906618035287e-05
"480",61,0.00172413793103448,TRUE,0.00292546178350178,0.00143629824184278,0.000977873418731098,0.00264638920735242,0.00648134255291318,0.00214448579832877,0.00264638920735242,8.50547416670064e-07,0.00257980918698009,7.32173298251536e-07
"526",62,0.00153139356814701,TRUE,0.00507261623794598,0.00177674691816328,0.00235000809308808,0.00482035959866321,0.00923834213280266,0.00434037605231505,0.00482035959866321,1.08172975498895e-05,0.00479324797794281,1.06396941907043e-05
"529",63,0.00991735537190083,TRUE,0.0045212253482953,0.00137912252886209,0.00228496425158619,0.0043652190302806,0.00765073565700125,0.00406332243773188,0.0043652190302806,3.08262179559401e-05,0.00438104139457837,3.0650772455496e-05
"545",64,0.00663129973474801,TRUE,0.0098020726135374,0.0026398134751998,0.00548986198636232,0.00951120010021167,0.0157724166132716,0.00894556169457536,0.00951120010021167,8.29382611499775e-06,0.00968943540366175,9.35219376948246e-06
"767",65,0.00311526479750779,FALSE,0.00156881489286673,0.000603392736295256,0.00067732356363875,0.0014729855373066,0.00300964533865618,0.00129392107145139,0.0014729855373066,2.69708116848695e-06,0.00140848710992499,2.9130900748305e-06
"568",66,0.00278551532033426,TRUE,0.00352519880439126,0.00113207296940874,0.00173350957176537,0.00338253520600418,0.00613294271560892,0.00310798797863031,0.00338253520600418,3.56432743885328e-07,0.0032653820871876,2.30272113930277e-07
"246",67,0.0121293800539084,TRUE,0.0039215076680881,0.00115801229511606,0.00202947945940717,0.0037949816145894,0.00653696810293993,0.00354983699775926,0.0037949816145894,6.9462197345323e-05,0.00372325457742098,7.06629455264509e-05
"261",68,0.0151057401812689,TRUE,0.013945162930814,0.00518891169087922,0.006239275161643,0.0131318306158953,0.0263111418185854,0.011604796168237,0.0131318306158953,3.89631897227348e-06,0.0138021503477234,1.69934645412326e-06
"259",69,0.00136425648021828,TRUE,0.00857415777530166,0.00180221226956228,0.00543643308770983,0.00843939045743665,0.012481620425678,0.00817476035166816,0.00843939045743665,5.00575207955898e-05,0.00849527979623091,5.08514935335157e-05
"262",70,0.0112640801001252,TRUE,0.00941921268190779,0.00298549164798862,0.00469206300651369,0.00904348216928227,0.0162951230872886,0.00831917544868326,0.00904348216928227,4.93105517046389e-06,0.00950335105722123,3.10016676252553e-06
