"CNTRY_NAME","CNTRY_CODE","ADM1_NAME","ADM1_CODE","ADM2_NAME","ADM2_CODE","HRname","HRpcode","HRparent","Shape_Leng","Shape_Area","ADM2_New","CLUSTER","setting","latnum","longnum","raw_prev_rate","count","response","male","age_1524","age_2534","age_3544","age_4554","age_5564","age_65up","underweight","smoker","smoker_hh","less_education","tb_hist_hh","male_pop","age_0004_pop","age_0514_pop","age_1524_pop","age_2534_pop","age_3544_pop","age_4554_pop","age_5564_pop","age_65up_pop","hivPrev_2018","asin_hivPrev_2018","hv025_urban_2013","asin_hv025_urban_2013","hv226_solidFuel_2013","asin_hv226_solidFuel_2013","hv252_dailySmokingHH_2013","asin_hv252_dailySmokingHH_2013","hv270_poorest_2013","asin_hv270_poorest_2013","mv149_lessThanSecondaryEduc_2013","asin_mv149_lessThanSecondaryEduc_2013","mv717_unskilledOrUnemployed_2013","asin_mv717_unskilledOrUnemployed_2013","v149_lessThanSecondaryEduc_2013","asin_v149_lessThanSecondaryEduc_2013","v394_notVisitedHF_2013","asin_v394_notVisitedHF_2013","v445_underweight_2013","asin_v445_underweight_2013","v481_uninsured_2013","asin_v481_uninsured_2013","nga10povcons125","asin_nga10povcons125","nga_bsgmi_v0a_100m_2011","asin_nga_bsgmi_v0a_100m_2011","GHS_BUILT_LDS2014_GLOBE_R2018A_54009_1K_V2_0","asin_GHS_BUILT_LDS2014_GLOBE_R2018A_54009_1K_V2_0","assets_fn0","asin_assets_fn0","assets_fn1","asin_assets_fn1","assets_fn10","asin_assets_fn10","assets_fn11","asin_assets_fn11","assets_fn12","asin_assets_fn12","assets_fn13","asin_assets_fn13","assets_fn14","asin_assets_fn14","assets_fn15","asin_assets_fn15","assets_fn16","asin_assets_fn16","assets_fn17","asin_assets_fn17","assets_fn18","asin_assets_fn18","assets_fn19","asin_assets_fn19","assets_fn2","asin_assets_fn2","assets_fn3","asin_assets_fn3","assets_fn4","asin_assets_fn4","assets_fn5","asin_assets_fn5","assets_fn6","asin_assets_fn6","assets_fn7","asin_assets_fn7","assets_fn8","asin_assets_fn8","assets_fn9","asin_assets_fn9","zone","North.Central","North.East","North.West","South.East","South.South","South.West","urban","high_hiv"
"Nigeria","NGA","Abia","NGA001","Aba North","NGA001001","Aba North","NG001001","NG001",0.286931669505,0.00185743022254,"Aba North",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.502575929883838,0.11952574688323,0.243238416345148,0.211618173432556,0.157140762339259,0.110811387954998,0.0767354576314032,0.0467218545506218,0.0342082567088529,0.0280048734721384,0.168137664211075,0.462336647268281,0.74769910172917,0.938211599205185,1.31958987259911,0.0537313236773339,0.233927860136729,0.00107879479979505,0.0328509201680849,0.363265186081141,0.646899002969972,0.28779791591252,0.566246288313647,0.359092481932081,0.642555516116508,0.837821147508365,1.15631595474693,0.0792241463639166,0.285323453501572,0.981855265481344,1.4356832153763,0.414534837007523,0.699511256429938,0.830033186770229,1.14585172003108,0.403760414958621,0.688554195975154,0.0250999704003334,0.15910006492652,0.344836920499802,0.627630107938124,0.127572357654572,0.365239201468803,0.136126443743706,0.377882479432953,0.184374138712883,0.443815125484264,0.371941596269608,0.65589672857779,0.172792688012123,0.428694066834105,0.187211960554123,0.447463302025755,0.407424598932266,0.692285505660744,0.231138736009598,0.501531394287726,0.0555362850427628,0.2378990573237,0.369738429784775,0.653616155796535,0.230149477720261,0.50035718610923,0.138849973678589,0.381836981484584,0.170827329158783,0.426088967716046,0.124414548277855,0.360481113514042,0.230230733752251,0.500453700160448,0.0615562610328197,0.250723954236573,0.329283893108368,0.611178033382675,0.00507047073915601,0.0712675513910808,"South.East",FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,TRUE
"Nigeria","NGA","Abia","NGA001","Aba South","NGA001002","Aba South","NG001002","NG001",0.253419215529,0.00400956152107,"Aba South",38,"Urban",5.08134569,7.35065008,0,334,0,0.434131736526946,0.227544910179641,0.221556886227545,0.215568862275449,0.161676646706587,0.0958083832335329,0.0778443113772455,0.11377245508982,0.149700598802395,0.248587570621469,0.535928143712575,0.0282485875706215,0.51649038366554,0.112310365526547,0.242876565882283,0.219790631355859,0.163125669631614,0.111987399642838,0.0758821641035669,0.0449539035720061,0.0290732946142871,0.020029211221709,0.14200134310728,0.483751552112284,0.769146854292359,0.926126483031487,1.29553666763891,0.052473523291982,0.231123198924854,0.000930044737444964,0.0305013640397581,0.357388095082033,0.640778198563525,0.283771253935014,0.561789894366202,0.346433332870944,0.629308511651441,0.839248533748532,1.15825555621983,0.079097609671322,0.285089117328246,0.981866003953712,1.43572344783235,0.274909108877182,0.551913710134739,0.69581364064586,0.986597900521896,0.322682400033809,0.60413622346307,0.0564254447817802,0.239832996868579,0.319396525621414,0.600617211203329,0.110383808612823,0.33867811559416,0.169825881719589,0.424756969135486,0.177464470267296,0.434840026183723,0.328023254871368,0.609836139595566,0.178216814994812,0.435823796227055,0.19612167775631,0.458781872997761,0.395609855651855,0.680234364872761,0.25988757610321,0.534942645995132,0.0619587674736977,0.251560020965744,0.338744401931763,0.621207539628412,0.229500308632851,0.499585688366698,0.163895532488823,0.41680398770213,0.160605311393738,0.412341776414601,0.162466377019882,0.414870239547044,0.236227288842201,0.50754385456694,0.119713999330997,0.353301326045247,0.341053932905197,0.623645430057207,0.0124539146199822,0.111830053143998,"South.East",FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,TRUE
"Nigeria","NGA","Abia","NGA001","Arochukwu","NGA001003","Arochukwu","NG001003","NG001",1.25168373995,0.0427996045941,"Arochukwu",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.505645658509881,0.1188827301596,0.258592739810736,0.20960669524183,0.137320968891336,0.10308938959495,0.0766631323557396,0.0522241441489495,0.0436200124913796,0.0259437710856096,0.161775424529916,0.110579574294787,0.338990352333291,0.990249821750915,1.47189216746968,0.0532007892520613,0.232748686688555,0.0121427600796419,0.110418430322878,0.591820540935349,0.877742790767288,0.270091042208907,0.546503093065312,0.643479248970986,0.930923306716969,0.851956745458986,1.17584431595067,0.0856305536423559,0.296972930526652,0.955108809842796,1.35730278580854,0.665097951889038,0.953653719429737,0.0324602256526315,0.181156446252635,0.00177359975207559,0.0421265865823585,0.132984474301338,0.373278763786982,0.119914993643761,0.353610791388274,0.0845267549157143,0.294994777569335,0.199436232447624,0.462942526470684,0.182173669338226,0.440971328669303,0.126550704240799,0.363705377403256,0.238968953490257,0.510764719133519,0.160220190882683,0.411817072427858,0.205443307757378,0.470417576729692,0.207343339920044,0.472764946495254,0.171671137213707,0.427208889468085,0.0951862409710884,0.313639551036218,0.184756070375443,0.444307376110397,0.283581137657166,0.561579020299301,0.128954440355301,0.367305825513507,0.235903561115265,0.507162696031028,0.156429693102837,0.406625171070819,0.173711240291595,0.429907591363164,0.203917488455772,0.468526693048533,0.157341927289963,0.40787929869606,"South.East",FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE
"Nigeria","NGA","Abia","NGA001","Bende","NGA001004","Bende","NG001004","NG001",1.28076549404,0.0491128060522,"Bende",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.495368874571835,0.119374613590399,0.246857149375907,0.202810420796008,0.133621083175759,0.100617356110113,0.0793811592097182,0.0599683046577168,0.0573698506511771,0.0182526923064867,0.13551693559092,0.248437059045386,0.521792158514064,0.98818779165314,1.46189723123032,0.0544981581196419,0.235622577289776,0.00857671666026792,0.0927434605028915,0.594402047369498,0.88037026130624,0.284066255917468,0.5621170216453,0.576117764206662,0.861813050046965,0.832816301001547,1.14956874947236,0.0663502454347209,0.260522456866537,0.963654642472274,1.37897759464565,0.620227515697479,0.906815468031438,0.0334981093636412,0.184062436107977,0.00465404872515668,0.0682736168427892,0.129222959280014,0.367706243780627,0.106251437216997,0.332029470567745,0.116116557270288,0.347723880284564,0.194724649190903,0.457020285860141,0.148499846458435,0.395594430543708,0.118761859834194,0.351832281809552,0.207453206181526,0.472900435570735,0.137043513357639,0.379217726403586,0.200204357504845,0.463903006971876,0.225832998752594,0.495212797457403,0.166663877665997,0.420530593434389,0.101209614425898,0.323761193639081,0.194426313042641,0.456643478452769,0.277214586734772,0.554492273900574,0.107648238539696,0.334289316404308,0.236695297062397,0.508094570921332,0.174924947321415,0.431507174615632,0.119615286588669,0.353149258605891,0.228842452168465,0.498803084220048,0.151712223887444,0.400091408912294,"South.East",FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE
"Nigeria","NGA","Abia","NGA001","Ikwuano","NGA001005","Ikwuano","NG001005","NG001",0.748310003438,0.0229745297087,"Ikwuano",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.50872445267547,0.113961824607623,0.24991793073547,0.226575814291105,0.138444928927971,0.0967293362431746,0.0736037799844526,0.0540724241103926,0.046693908880572,0.0303278126907717,0.175041317006323,0.249218957576017,0.522696434911761,0.980381549897507,1.43026837879865,0.053103043991234,0.232530832385997,0.00371451437626204,0.0609846104777991,0.503992715487973,0.789390921320625,0.282771061465381,0.560680016689615,0.517063183212761,0.802464660336271,0.845991603424305,1.16751446406958,0.0748926182103015,0.277201604823673,0.969565277429849,1.39544356249248,0.572828888893127,0.858487067698372,0.0534515091222133,0.233306628291746,0.000895140096271664,0.0299233573615592,0.131844013929367,0.37159637032489,0.130546525120735,0.369674807126904,0.127670377492905,0.365386083877798,0.173869416117668,0.430116305654076,0.211725279688835,0.478148544541588,0.1219861805439,0.356786804967447,0.193152666091919,0.45503234968091,0.1738221347332,0.430053925340243,0.209880441427231,0.475887036018044,0.213786095380783,0.48066630807261,0.146106749773026,0.39221821628979,0.1229208111763,0.358212380009373,0.187580049037933,0.447934933349206,0.255716979503632,0.530175393404447,0.120228342711926,0.354092799752733,0.202462732791901,0.466718969387208,0.16313236951828,0.415772222669526,0.123865753412247,0.359648953495704,0.218668162822723,0.486595967461959,0.151284441351891,0.399494836897354,"South.East",FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE
"Nigeria","NGA","Abia","NGA001","Isiala-Ngwa North","NGA001006","Isiala-Ngwa North","NG001006","NG001",0.812765407284,0.0230891556765,"Isiala-Ngwa North",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.490690884205841,0.123421257376411,0.256850389127657,0.204453799475328,0.131976656737381,0.100344142184972,0.0767545688961274,0.0558911074217696,0.0503080620047457,0.0200153669651672,0.141951926299632,0.410614003156123,0.695529065088167,0.960998040729162,1.37200037762351,0.0537075499916552,0.233875138262842,0.00151724174047571,0.0389616439956508,0.428205814802422,0.713354956599072,0.28936834408925,0.567979257708816,0.405935853959308,0.690770132618624,0.837998274794682,1.15655626836282,0.0714231372951205,0.270539212691223,0.977958793215267,1.42178264927496,0.524210810661316,0.809618445048258,0.0801125902093927,0.286963992107943,8.10547421084529e-05,0.00900316234221069,0.154590532183647,0.404087619254402,0.1663913205266,0.420164797497064,0.109123829752207,0.336662674768766,0.232282973825932,0.502887367335462,0.167981848120689,0.422296063989469,0.175746574997902,0.432587542090704,0.176433302462101,0.433489004108447,0.136184580624104,0.377967238532314,0.24577284604311,0.518703766611058,0.262075662612915,0.537433812525742,0.141362078487873,0.385455750841644,0.16883061081171,0.423430087106939,0.191692106425762,0.453179799094395,0.259402766823769,0.534389765984457,0.0789242573082447,0.284767803808968,0.258176371455193,0.532989673797354,0.247137732803822,0.520287359018873,0.1545350253582,0.404010843648032,0.266896441578865,0.54289886569265,0.0762391947209835,0.279749046310597,"South.East",FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE
"Nigeria","NGA","Abia","NGA001","Isiala-Ngwa South","NGA001007","Isiala-Ngwa South","NG001007","NG001",0.791284233698,0.0210598734708,"Isiala-Ngwa South",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.494577627141923,0.11650833514569,0.251691837087711,0.211180410736095,0.135720075535405,0.100030171546945,0.0771203016566903,0.0558045524555619,0.0519444030861992,0.0185835559373193,0.13674731031025,0.396805134827574,0.681456260970823,0.971702169809816,1.40177308632761,0.0547693472596505,0.23621921686713,0.00214475947421854,0.0463281184772485,0.46987525274594,0.755255160827503,0.293748266588569,0.572797896875025,0.437407307197627,0.722640821149977,0.832967016081807,1.14977074111582,0.0662230633808669,0.26026684791841,0.974991423535357,1.41198864777502,0.526765435934067,0.8121763988114,0.0830998939610973,0.292420194757925,0.00107248930604451,0.0327547391473151,0.155192784965038,0.404919917149822,0.152549855411053,0.401257547343791,0.0990891046822071,0.320229307599976,0.222084574401379,0.490717114297297,0.182262010872364,0.441085753606008,0.155054375529289,0.404728755747445,0.20180806517601,0.465903880065374,0.153518483042717,0.402602788681093,0.251409128308296,0.525224373991136,0.254153460264206,0.528381644076169,0.164253026247025,0.417286640056962,0.148133032023907,0.395078391311966,0.189974255859852,0.450993999218753,0.274504691362381,0.551460699466516,0.10075443610549,0.323005848208852,0.271477594971657,0.54806324526176,0.218508623540401,0.486402955525866,0.170005589723587,0.424996223323121,0.263569593429565,0.539130819024853,0.0943468734622002,0.312206652913305,"South.East",FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE
"Nigeria","NGA","Abia","NGA001","Isuikwato","NGA001008","Isuikwato","NG001008","NG001",0.726509253254,0.0321372372021,"Isiukwuato",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.489157618944579,0.105888184012931,0.236830064249152,0.232416871492561,0.129400225942501,0.09301856221707,0.0765096890895482,0.0633863236170011,0.062550090553467,0.0180493913637192,0.134755491609227,0.378119130441416,0.662276807068851,0.987923539801001,1.46068098094871,0.0569115752892545,0.240884282624224,0.00828250434719164,0.091134365218896,0.594757205869555,0.880731949582177,0.293327113567912,0.572335480170161,0.537489002397805,0.822922380280899,0.807813205004263,1.11698847240003,0.0550883594708845,0.236919292939951,0.966820618772321,1.3876216185252,0.592162847518921,0.878091042236442,0.0434482312354274,0.20998210002729,0.00805708584079848,0.0898822462297146,0.16033524274826,0.411973877195522,0.146363168954849,0.392581065151028,0.0957769490778446,0.314644571459635,0.221644036471844,0.490186984798189,0.162669375538826,0.415145326959718,0.153658628463745,0.402797136081365,0.246609210968018,0.519674498267419,0.173794403672218,0.430017335471535,0.23021661490202,0.500436930971039,0.244446821510792,0.517162422297205,0.194034963846207,0.456148860066242,0.122852098196745,0.358107732505702,0.198918767273426,0.462294693657583,0.298846706748009,0.57838070110296,0.136999517679214,0.379153755032757,0.264502719044685,0.540189220231009,0.19591248780489,0.45851839735907,0.208240799605846,0.473870936246175,0.238231293857098,0.509899383864723,0.17500402033329,0.431611235381037,"South.East",FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE
"Nigeria","NGA","Abia","NGA001","Obi Nwa","NGA001009","Obi Nwa","NG001009","NG001",0.864580891162,0.0322430500656,"Obi Ngwa",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.492577208733057,0.123596820076357,0.259703371251768,0.205245246726058,0.132572554238504,0.0993944003173558,0.0775010325231687,0.0539115962865278,0.0480750200074648,0.0287539438724303,0.170393211278942,0.3638839729278,0.647542194920516,0.949969272717271,1.34521243793268,0.0528381003034102,0.231939373119703,0.00140758213187746,0.0375265646878352,0.399357045109204,0.684062901803653,0.283504258045618,0.561493734486025,0.401743607601775,0.686498122850364,0.842784750337162,1.16309100561108,0.0809554699554966,0.288512735574354,0.978801775410917,1.42468085969438,0.514039397239685,0.799439406112514,0.0835383350123951,0.293213426638127,0.00564956334260749,0.0752345313343667,0.156078025698662,0.406140908496399,0.195512771606445,0.458014656993815,0.115088008344173,0.346115499236877,0.213070131838322,0.479792600648534,0.174062855541706,0.430371448693856,0.177479356527328,0.434859507370997,0.192654274404049,0.454400799133334,0.181521356105804,0.440125747038243,0.271738067269325,0.548356049783192,0.260657966136932,0.535820516778367,0.143400445580482,0.388372381284795,0.167415767908096,0.421538458918953,0.201869398355484,0.465980284383696,0.265176087617874,0.540952248300745,0.100506607443094,0.322593952109039,0.26088835299015,0.536082882684371,0.212112747132778,0.478622606248648,0.190223813056946,0.45131200441076,0.295918151736259,0.57517732880266,0.093229852616787,0.310290881009238,"South.East",FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE
"Nigeria","NGA","Abia","NGA001","Ohafia","NGA001010","Ohafia","NG001010","NG001",0.928640280946,0.035787837698,"Ohafia",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.503739042886819,0.122052664435947,0.25802016812658,0.208700362415379,0.133685743432498,0.101024688946456,0.0755169233803051,0.0535547511937319,0.0474447065622873,0.0190168120087486,0.138342315137546,0.171342257306364,0.426772652618792,0.989491426614227,1.46810459814701,0.0506594607229087,0.227021618169384,0.0176870101915328,0.133387712872261,0.596532318320676,0.882540459680741,0.260077661616674,0.53515932953098,0.652910275717435,0.94079823998457,0.833460801512815,1.15043303418984,0.0832841332770305,0.29275375353109,0.961150187962733,1.37239368906045,0.661251664161682,0.949584631193798,0.0389905505627463,0.198766482404783,0.00688912981926466,0.0830963792263607,0.131275624036789,0.370755585245406,0.161156475543976,0.413091820984218,0.0852821916341782,0.296349875273422,0.208642080426216,0.474364888412754,0.218439102172852,0.48631883212633,0.150529503822327,0.398440330935356,0.240335911512375,0.512365856429376,0.172263011336327,0.427993136796467,0.234114155173302,0.505052565797125,0.21431066095829,0.481305771906947,0.179701492190361,0.43776041235648,0.123499542474747,0.359092772260011,0.177563056349754,0.43496903080917,0.262738078832626,0.53818665654871,0.157185778021812,0.407664837016437,0.263875514268875,0.539477943069657,0.16448986530304,0.417606164088982,0.202909246087074,0.467274333606151,0.207849934697151,0.473389468107811,0.14647413790226,0.392738011354981,"South.East",FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE
